"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 02 12:16:07 GMT 2023","Thu Feb 02 12:16:07 GMT 2023","581","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","checkTheNewsAreUpToDate","checkTheNewsAreUpToDate",""
"passed","Thu Feb 02 12:15:35 GMT 2023","Thu Feb 02 12:15:38 GMT 2023","3076","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","checkContactPhoneIsTheSameOnTheLegalPage","checkContactPhoneIsTheSameOnTheLegalPage",""
"passed","Thu Feb 02 12:16:16 GMT 2023","Thu Feb 02 12:16:17 GMT 2023","680","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","countHowManyTimesFaradayAppears","countHowManyTimesFaradayAppears",""
"passed","Thu Feb 02 12:15:47 GMT 2023","Thu Feb 02 12:15:48 GMT 2023","1950","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","checkThatSendFormFieldsAreRequired","checkThatSendFormFieldsAreRequired",""
