"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Feb 01 21:06:32 GMT 2023","Wed Feb 01 21:06:32 GMT 2023","3","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","checkTheNewsAreUpToDate","checkTheNewsAreUpToDate",""
"skipped","Wed Feb 01 21:06:32 GMT 2023","Wed Feb 01 21:06:32 GMT 2023","2","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","countHowManyTimesFaradayAppears","countHowManyTimesFaradayAppears",""
"skipped","Wed Feb 01 21:06:32 GMT 2023","Wed Feb 01 21:06:32 GMT 2023","8","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","checkContactPhoneIsTheSameOnTheLegalPage","checkContactPhoneIsTheSameOnTheLegalPage",""
"failed","Wed Feb 01 21:06:32 GMT 2023","Wed Feb 01 21:06:32 GMT 2023","3","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","setUp","setUp",""
"skipped","Wed Feb 01 21:06:32 GMT 2023","Wed Feb 01 21:06:32 GMT 2023","2","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","checkThatSendFormFieldsAreRequired","checkThatSendFormFieldsAreRequired",""
