"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 01 20:55:16 GMT 2023","Wed Feb 01 20:55:20 GMT 2023","4430","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","checkContactPhoneIsTheSameOnTheLegalPage","checkContactPhoneIsTheSameOnTheLegalPage",""
"skipped","Wed Feb 01 20:55:50 GMT 2023","Wed Feb 01 20:55:50 GMT 2023","3","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","checkTheNewsAreUpToDate","checkTheNewsAreUpToDate",""
"skipped","Wed Feb 01 20:55:50 GMT 2023","Wed Feb 01 20:55:50 GMT 2023","3","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","countHowManyTimesFaradayAppears","countHowManyTimesFaradayAppears",""
"passed","Wed Feb 01 20:55:24 GMT 2023","Wed Feb 01 20:55:27 GMT 2023","2662","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","checkThatSendFormFieldsAreRequired","checkThatSendFormFieldsAreRequired",""
"failed","Wed Feb 01 20:55:50 GMT 2023","Wed Feb 01 20:55:50 GMT 2023","3","Suite","Check Contacts Page","ui.contacts.ContactsPageTests","ui.contacts.ContactsPageTests","setUp","setUp",""
